HGNC	criteria
CDKN2C	'Age-related changes in gene expression, methylation or protein activity in humans'
CDO1	'Age-related changes in gene expression, methylation or protein activity in humans'
CDV3	'Age-related changes in gene expression, methylation or protein activity in humans'
CDYL	'Age-related changes in gene expression, methylation or protein activity in humans'
CEACAM4	'Age-related changes in gene expression, methylation or protein activity in humans'
CEBPA	'Age-related changes in gene expression, methylation or protein activity'
CEBPA	'Changes in gene activity enhance age-related deterioration'
CEBPB	'Changes in gene activity extend mammalian lifespan'
CEBPB	'Age-related changes in gene expression, methylation or protein activity'
CEBPB	'Regulation of genes associated with aging'
CEBPB	'Changes in gene activity protect against age-related impairment'
CEBPB	'Age-related changes in gene expression, methylation or protein activity in humans'
CELF1	'Age-related changes in gene expression, methylation or protein activity in humans'
CELF2	'Age-related changes in gene expression, methylation or protein activity in humans'
CELSR2	'Association of genetic variants and gene expression levels with longevity'
CENATAC	'Age-related changes in gene expression, methylation or protein activity in humans'
CENPO	'Age-related changes in gene expression, methylation or protein activity in humans'
CENPU	'Age-related changes in gene expression, methylation or protein activity in humans'
CEP350	'Age-related changes in gene expression, methylation or protein activity in humans'
CEP57	'Age-related changes in gene expression, methylation or protein activity in humans'
CEP89	'Association of genetic variants and gene expression levels with longevity'
CERS6	'Age-related changes in gene expression, methylation or protein activity in humans'
CERT1	'Age-related changes in gene expression, methylation or protein activity in humans'
CETN3	'Age-related changes in gene expression, methylation or protein activity in humans'
CETP	'Association of genetic variants and gene expression levels with longevity'
CFB	'Association of genetic variants and gene expression levels with longevity'
CFDP1	'Age-related changes in gene expression, methylation or protein activity in humans'
CFH	'Age-related changes in gene expression, methylation or protein activity in humans'
CFHR1	'Age-related changes in gene expression, methylation or protein activity in humans'
CFLAR	'Age-related changes in gene expression, methylation or protein activity in humans'
CHAD	'Age-related changes in gene expression, methylation or protein activity in humans'
CHCHD3	'Age-related changes in gene expression, methylation or protein activity in humans'
CHCHD4	'Age-related changes in gene expression, methylation or protein activity in humans'
CHPT1	'Age-related changes in gene expression, methylation or protein activity in humans'
CHRNA1	'Age-related changes in gene expression, methylation or protein activity in humans'
CHRNA3	'Association of genetic variants and gene expression levels with longevity'
CHRNA4	'Association of genetic variants and gene expression levels with longevity'
CHRNA5	'Association of genetic variants and gene expression levels with longevity'
CHRNA7	'Changes in gene activity extend non-mammalian lifespan'
CHST2	'Age-related changes in gene expression, methylation or protein activity in humans'
CHSY1	'Changes in gene activity reduce mammalian lifespan'
CHSY1	'Changes in gene activity enhance age-related deterioration'
CHSY1	'Age-related changes in gene expression, methylation or protein activity in humans'
CHTF18	'Age-related changes in gene expression, methylation or protein activity in humans'
CILK1	'Age-related changes in gene expression, methylation or protein activity in humans'
CIRBP	'Age-related changes in gene expression, methylation or protein activity in humans'
CISD2	'Changes in gene activity extend mammalian lifespan'
CISD2	'Age-related changes in gene expression, methylation or protein activity'
CISD2	'Changes in gene activity protect against age-related impairment'
CISD2	'Changes in gene activity reduce mammalian lifespan'
CISD2	'Changes in gene activity enhance age-related deterioration'
CITED2	'Age-related changes in gene expression, methylation or protein activity in humans'
CITED4	'Age-related changes in gene expression, methylation or protein activity in humans'
CKLF	'Age-related changes in gene expression, methylation or protein activity in humans'
CKMT2	'Age-related changes in gene expression, methylation or protein activity in humans'
CLASRP	'Age-related changes in gene expression, methylation or protein activity in humans'
CLDN5	'Age-related changes in gene expression, methylation or protein activity in humans'
CLEC11A	'Age-related changes in gene expression, methylation or protein activity in humans'
CLEC2B	'Age-related changes in gene expression, methylation or protein activity in humans'
CLIC1	'Age-related changes in gene expression, methylation or protein activity in humans'
CLIC2	'Age-related changes in gene expression, methylation or protein activity in humans'
CLIC4	'Age-related changes in gene expression, methylation or protein activity in humans'
CLIP1	'Age-related changes in gene expression, methylation or protein activity in humans'
CLK1	'Age-related changes in gene expression, methylation or protein activity in humans'
CLN8	'Age-related changes in gene expression, methylation or protein activity in humans'
CLOCK	'Regulation of genes associated with aging'
CLOCK	'Changes in gene activity reduce mammalian lifespan'
CLOCK	'Changes in gene activity enhance age-related deterioration'
CLPX	'Age-related changes in gene expression, methylation or protein activity in humans'
